,name,latitude,longitude,store_id
209,Mount Vernon Supercenter,38.309085,-88.958411,619d71df-daa9-477d-a5fa-06ffbd96a723
210,Burleson Supercenter,32.527749,-97.337823,3b52cdae-daa3-43f7-b889-a4bb00c483f3
211,Sparta Supercenter,38.1414384,-89.7017327,8d91185f-b816-4e02-b640-07c913b8155d
212,Sulphur Supercenter,34.5038374,-97.0041868,0e73235c-092c-4ad2-ad2c-8844c6b7fcc9
213,Atlanta Supercenter,33.115504,-94.184857,bc72adcb-c2d5-4d34-b384-0ee80feec0de
214,El Reno Supercenter,35.511165,-97.976009,6c1535cf-3506-4d1a-bc41-ccb49e741f01
215,Trumann Supercenter,35.681492,-90.549868,60946260-63d9-4f87-8318-e7f550924297
216,Cleburne Supercenter,32.341355,-97.41514,b93d10b4-d82b-4361-873d-900d6d27086b
217,Ada Supercenter,34.789127,-96.65614,7debe916-333e-49ce-956e-04ddad089810
218,Paris Store,35.293369,-93.716195,603750e1-4d18-445c-9ca8-cdb6895e11c8
219,Anna Supercenter,37.461908,-89.222998,c8a9664f-de00-4c48-8d13-7fc2a914491a
220,Atoka Store,34.3662191,-96.1426364,84dd6a4b-af3b-4b47-900a-af6dae93a396
221,Kansas City Supercenter,39.243164,-94.459216,86233399-4fbb-4f78-aa68-ee62e6665c5d
222,Pulaski Supercenter,35.201555,-87.060372,3c3d6de0-e128-44c1-b9bf-f670729070a2
223,Commerce Supercenter,33.234935,-95.914764,c984daa8-018c-418c-bea0-fd4b8ed2e98d
224,Rogers Gas Station,36.280919,-94.151696,e8648fdb-ac84-4f2e-9036-b67cd03b4a4b
225,Kosciusko Supercenter,33.0549039,-89.5669509,c4fac5c7-784e-4e95-b248-6d12d67abee1
226,Crockett Supercenter,31.320306,-95.434461,c973fb3b-b1e4-4425-ace4-e5d938cfb8ab
227,Harrisburg Supercenter,37.7282525,-88.532915,f7d8b177-b1f1-4892-8739-cdfeaeec5405
228,Paola Supercenter,38.573605,-94.857295,ef99be98-6e16-478c-9541-bea48f24c4ae
229,Winnfield Supercenter,31.950346,-92.656886,bbc90175-0e1e-4f29-bb03-265e8f245863
230,Wentzville Supercenter,38.814137,-90.879016,be321b01-628b-4566-907f-e6fa949605ea
231,Crowley Gas Station,32.576633,-97.336527,df88f772-9ac0-4090-b45f-6dd6e0acc7fd
232,Henryetta Store,35.438882,-95.974421,83b399b5-6105-48b2-a055-62c972f2dce8
233,Cleveland Supercenter,30.333624,-95.098051,82800525-72b8-41ac-84c6-1e15ddf47d42
234,Mexia Supercenter,31.683347,-96.456538,fda3b8dc-9660-4c75-9f8f-5f750a4d8d9e
235,Warsaw Supercenter,38.26173,-93.3713094,3043f9ac-3614-42e4-a4fb-5b442dfd4278
236,Skiatook Supercenter,36.370696,-96.01132,938c2d7e-4593-4fba-98ad-bb859afae093
237,Mineola Supercenter,32.689696,-95.481768,d21f48bd-9c21-4cc1-822a-bb8e487b1d88
238,Du Quoin Supercenter,37.997658,-89.238137,d8b0cba0-e78a-430d-bb6a-6ac0be392f42
239,Jerseyville Supercenter,39.103491,-90.318482,bb166c06-88bf-4a35-b5ab-6d77dd7beea6
240,Olney Supercenter,38.749971,-88.097805,3f1ce635-fc82-4572-b6db-60ee0b789ac4
241,Tupelo Supercenter,34.308824,-88.709889,a4bc23fb-79c5-41ec-8a1d-6cca2dde8fac
242,Rockwall Supercenter,32.902041,-96.461769,b27a1417-44ac-47e2-9e1d-7801d444f9c0
243,Morganfield Supercenter,37.688625,-87.900008,90a38886-83cb-4bc9-b3bf-7ae1d28489bf
244,Waxahachie Supercenter,32.416996,-96.837937,7281ecd6-9998-4e17-942f-7f509a5148f3
245,Hot Springs Supercenter,34.454531,-93.060534,b674e172-c35b-40c7-9bb2-c4c95c8ab333
246,Glen Carbon Supercenter,38.7753749,-89.952569,e04999fc-be22-497e-9825-1b1285572091
247,Benton Supercenter,38.000853,-88.93678,58661346-7b06-4e6c-986c-f67b9ce922de
248,Terrell Supercenter,32.739723,-96.306024,6094baf4-3584-4f07-b15c-f2c8252bde88
249,Grapevine Supercenter,32.930782,-97.1017,a226275b-ccd4-425b-a547-c2b45e069887
250,Savannah Supercenter,35.2239804,-88.2147838,7c10d26a-5137-4555-a082-864cb40f7290
251,Dickson Supercenter,36.0599933,-87.3812037,17281996-3a40-4d90-9dc3-2131874c02a9
252,Bowie Supercenter,33.540549,-97.837408,930a3a83-6b13-484f-9c3d-af2b7d7247d8
253,Lawton Supercenter,34.618772,-98.42438,6c2cfe15-e203-40c8-ae91-b0f8e200a6e5
254,Franklin Supercenter,35.93902,-86.819155,efaf9018-8146-435c-8a1a-7549dc6881d4
255,Fulton Supercenter,34.2420797,-88.3972337,86247450-ae1b-40a6-87c7-26eabd60fddd
256,Webb City Supercenter,37.133514,-94.478384,5fdab73c-6554-4470-b9b3-54f69bc16d32
257,Iuka Store,34.80428,-88.20453,ad598563-ffaf-4d40-91cc-de045c43f859
258,Livingston Supercenter,30.716174,-94.954755,e846a205-729c-42ba-91c9-beebc9e66902
259,Stigler Supercenter,35.2523274,-95.1084185,2599ceec-67e0-469f-bab7-3c3d224c5dfb
260,Shreveport Supercenter,32.42845,-93.712166,13977f20-c040-41a3-a361-7f67c76a9da7
261,Heber Spgs Supercenter,35.507388,-92.032234,a690c7fd-294e-4132-a142-f857931ff867
262,De Queen Supercenter,34.043471,-94.319058,4a540e2b-e638-4bdd-9111-7bd3328fd1d5
263,Moore Supercenter,35.322508,-97.493008,50c359fe-3c10-4de8-8042-0949f2ddb196
